transid,transsurv,plotsurv,paddock,plot,obs,hbee,nbee,hover,date,sx,fx,sy,fy,loc,pair,inf,rankinf,dupl,temp,windspeed,winddir,cloudc,disttoedgecalc,disttoedgemeasured,w100,w200,w300,w400,w500,w600,w700,w800,w900,w1000,w1500,w2000,c100,c200,c300,c400,c500,c1000,c1500,area,perimeter,gyration,paratio,shape,fractaldimention,circumscircle,contiguity,links100,links200,links300,links400,links500,links1000,links1500,links2000,windspeed2
MC1G4,20,20,2,MC1-4,Sonia,11,2,11,2,649101,649108,6184385,6184414,edge,I,17.25,3.278445748,0,26,2.5,NA,NA,44.32,44,413,1526,3259,5191,8896,NA,NA,NA,NA,60069,122075,240600,24274,79971,163848,252760,328066,619189,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,0,882,1929,4800,3.5
MC1G5,21,21,2,MC1-5,Sonia,35,5,15,2,649146,649128,6184695,6184702,edge,O,25.75,3.419389012,0,26,3.5,NA,NA,12.55,29,577,1484,2788,4904,7581,NA,NA,NA,NA,40415,106309,209500,17404,47386,90009,144743,211628,559579,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,26,31,35,1500,3842,5.7
MC1G6,22,22,2,MC1-6,Sonia,5,1,8,2,648737,648709,6184641,6184625,edge,I,15,3.810298103,0,27,3,NA,NA,46.35,46,32,32,143,1210,4541,NA,NA,NA,NA,50164,133639,225500,24604,81138,168970,287473,405993,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,0,50,2054,7110,4.5
MC1G7,23,23,2,MC1-7,Sonia,11,0,2,2,648458,648437,6184598,6184595,edge,O,22.75,4,0,27,3,NA,NA,30.39,30,9,2081,5174,8781,11471,NA,NA,NA,NA,50246,123160,253800,21683,65609,127717,209004,309583,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,3,34,828,14447,4.5
MC1G8,24,24,2,MC1-8,Sonia,8,0,2,2,648347,648342,6184302,6184274,edge,I,19,4,0,27,2.5,NA,NA,56.59,57,1832,5096,6266,9724,20030,NA,NA,NA,NA,71924,158390,259200,26390,85165,175127,288269,394008,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,1,4,5,574,3728,14401,3.5
MC1G9,25,25,2,MC1-9,Sonia,2,0,11,2,648639,648653,6184292,6184300,400,O,11.25,4,0,23,2,NA,NA,329.92,330,0,112,112,6501,13035,NA,NA,NA,NA,58635,151977,258900,31415,125661,282740,460209,561755,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,1,359,2718,14400,2.5
MC2BG1,26,26,3,MC2-B1,Sonia,4,0,0,3,654091,654077,6176780,6176757,edge,I,17.25,4,0,NA,5,NA,NA,40.65,31,0,0,140,477,992,NA,NA,NA,NA,46461,121018,213900,21858,73814,134499,207054,292837,635150,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,0,1172,2423,3771,9.6
MC2BG2,27,27,3,MC2-B2,Sonia,18,1,2,3,653938,653897,6176727,6176718,200,O,25,4,0,NA,5,NA,NA,168.99,166,0,84,186,1092,11346,NA,NA,NA,NA,48557,120593,210000,31415,120684,205490,293412,394318,666780,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,478,1111,2443,3179,9.6
MC2BG3,28,28,3,MC2-B3,Sonia,10,0,3,3,653867,653852,6176843,6176831,edge,I,27.75,3.904458599,0,NA,5,NA,NA,41.2,38,84,197,531,10397,18647,NA,NA,NA,NA,45991,121634,213400,23297,78316,148854,226818,317675,657460,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,486,1000,1106,2309,3132,9.6
MC2BG4,29,29,3,MC2-B4,Sonia,8,0,2,3,653853,653853,6176515,6176515,400,O,20.25,3.357906875,0,NA,4.5,NA,NA,329.33,319,0,0,70,251,5052,NA,NA,NA,NA,51503,108212,207500,31415,125661,282740,453689,552299,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,0,1483,2197,3107,8.3
MC2BG5,30,30,3,MC2-B5,Sonia,6,2,1,3,653561,653553,6176529,6176508,200,I,7.75,3.198185118,0,NA,4.5,NA,NA,204.65,201,0,96,1760,9935,22585,NA,NA,NA,NA,50059,102215,215400,31415,125661,237020,357674,497745,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,45,869,1107,1931,2742,8.3
MC2BG6,31,31,3,MC2-B6,Sonia,16,3,2,3,653490,653470,6176683,6176674,edge,O,21.5,3.598272196,0,NA,4.5,NA,NA,27.12,23,109,3779,15232,22842,25443,NA,NA,NA,NA,45273,110662,216700,20301,68133,137967,229142,340163,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,16,632,1065,1067,1106,2250,2741,8.3
MC2BG7,32,32,3,MC2-B7,Sonia,1,0,4,3,653437,653438,6176593,6176574,100,I,6.25,3.180808081,0,NA,4,NA,NA,96.1,86,258,1831,6413,19471,26118,NA,NA,NA,NA,47229,103725,218600,30121,83918,157888,251562,366461,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,19,696,1067,1104,2161,2740,6.9
MC2BG8,33,33,3,MC2-B8,Sonia,20,6,0,3,653342,653340,6176491,6176486,edge,O,22.75,2.654545455,0,NA,3,NA,NA,20.95,21,898,3299,5619,9087,19493,NA,NA,NA,NA,47189,95258,220900,19555,67827,136954,226938,336270,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,1,2,5,31,429,1103,1539,2745,4.5
MC2BG9,34,34,3,MC2-B9,Sonia,16,4,3,3,653306,653306,6176052,6176040,edge,I,12,3.78974359,0,NA,1,NA,NA,18.03,21,163,1292,3016,4882,7687,NA,NA,NA,NA,51505,98268,203400,18082,64971,118308,178247,248006,629607,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,1,3,4,1104,1482,2393,0.9
MC2BG10,35,35,3,MC2-B10,Sonia,11,2,2,3,653474,653494,6176146,6176146,200,O,20.75,3.370807624,0,NA,4,NA,NA,212.05,198,309,477,1815,4252,6800,NA,NA,NA,NA,54888,96722,202700,31415,125597,219810,302762,391387,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,3,4,1141,1484,2761,6.9
MC2BG11,36,36,3,MC2-B11,Sonia,9,0,4,3,653547,653564,6175964,6175985,edge,I,20.75,2.939171123,0,NA,3.5,NA,NA,30.24,30,0,460,1087,3764,11599,NA,NA,NA,NA,54737,111649,191600,21956,73558,146549,220300,302096,658407,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,34,1048,1632,2387,5.7
MC2BG12,37,37,3,MC2-B12,Sonia,7,0,7,3,653761,653784,6176047,6176059,edge,O,24.5,3.240546218,0,NA,2,NA,NA,8.6,9,120,220,5348,8636,13314,NA,NA,NA,NA,57463,109546,189200,17089,65557,147141,258875,393363,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,34,34,36,1282,1651,2949,2.5
MC2BG13,38,38,3,MC2-B13,Sonia,5,0,1,3,653702,653723,6176279,6176287,400,I,20.5,3.277310924,0,NA,2,NA,NA,246.25,246,0,0,124,3372,10414,NA,NA,NA,NA,55698,98955,204500,31415,125661,268718,433063,585075,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,36,1481,1634,2600,2.5
MC2BG14,39,39,3,MC2-B14,Sonia,7,1,2,3,653990,653995,6176311,6176332,200,O,21,3.159235669,0,NA,3.5,NA,NA,167.86,168,0,230,3956,7584,10564,NA,NA,NA,NA,57985,95493,202600,31415,118803,214807,318149,436356,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,34,36,1481,1634,3143,5.7
MC2BG15,40,40,3,MC2-B15,Sonia,5,1,2,3,654049,654067,6176193,6176201,edge,I,13.5,3.159235669,0,NA,4.5,NA,NA,27.24,26,764,4588,8459,12306,14193,NA,NA,NA,NA,60162,100652,207000,19643,68398,138437,222460,322809,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,34,37,41,1237,1653,3838,8.3
MC2BG16,41,41,3,MC2-B16,Sonia,11,0,3,3,654136,654144,6176262,6176278,100,O,12.75,3,0,NA,3,NA,NA,60.72,33,42,1500,5397,11029,14013,NA,NA,NA,NA,59250,96423,206100,22052,65877,125982,203453,297270,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,36,40,1263,1645,3833,4.5
MC2BG17,42,42,3,MC2-B17,Sonia,6,1,13,3,654174,654172,6176431,6176460,edge,I,14.25,3,0,NA,3,NA,NA,37.94,27,103,152,266,2396,6913,NA,NA,NA,NA,54719,99810,207900,20946,71128,139502,225088,327037,668080,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,34,1479,1634,3698,4.5
MC2BB1,44,26,3,MC2-B1,Andrew,3,0,0,3,654096,654102,6176781,6176761,edge,O,41,4,0,NA,5,NA,NA,25.64,16,0,0,84,470,1048,NA,NA,NA,NA,45936,120743,214200,18941,68178,128218,199812,284525,630939,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,0,1110,2423,3769,9.6
MC2BB2,45,27,3,MC2-B2,Andrew,12,0,2,3,653932,653909,6176690,6176706,200,I,41.75,4,0,NA,5,NA,NA,192.98,190,0,84,89,407,9018,NA,NA,NA,NA,48479,120832,210100,31415,124914,218507,309653,413556,668258,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,401,1112,2429,3185,9.6
MC2BB3,46,28,3,MC2-B3,Andrew,4,0,0,3,653864,653846,6176853,6176845,edge,O,43.25,3.904458599,0,NA,5,NA,NA,28.21,25,84,197,1245,11548,18796,NA,NA,NA,NA,45984,122466,213800,20842,73189,142326,219231,308997,655456,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,487,1000,1106,2309,3132,9.6
MC2BB4,47,29,3,MC2-B4,Andrew,6,0,6,3,653859,653847,6176496,6176489,400,I,30,3.357906875,0,NA,4.5,NA,NA,335,325,0,0,0,360,5182,NA,NA,NA,NA,51117,105553,207500,31415,125661,282740,460491,559453,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,0,1481,1989,3112,8.3
MC2BB5,48,30,3,MC2-B5,Andrew,4,1,0,3,653540,653528,6176544,6176527,200,O,14,3.198185118,0,NA,4.5,NA,NA,179.63,176,0,263,3145,12143,24246,NA,NA,NA,NA,49062,101470,216100,31415,122061,220502,334811,469282,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,1,271,996,1107,2041,2735,8.3
MC2BB6,49,31,3,MC2-B6,Andrew,11,2,2,3,653496,653477,6176662,6176654,edge,I,37.5,3.598272196,0,NA,4.5,NA,NA,49.13,45,4,2661,12633,22752,25485,NA,NA,NA,NA,45649,109078,216100,24425,76496,149825,244095,358307,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,12,397,1065,1067,1105,2244,2738,8.3
MC2BB7,50,32,3,MC2-B7,Andrew,7,1,6,3,653430,653414,6176586,6176572,100,O,7.25,3.180808081,0,NA,4,NA,NA,94,73,300,1921,5917,18864,26126,NA,NA,NA,NA,47203,102455,218600,28522,80102,152030,243894,357019,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,18,571,1067,1104,2147,2743,6.9
MC2BB8,51,33,3,MC2-B8,Andrew,8,1,2,3,653367,653367,6176486,6176464,edge,I,17,2.654545455,0,NA,3,NA,NA,49.39,28,448,2674,5597,8542,18599,NA,NA,NA,NA,47664,95100,220400,24946,79348,154258,249605,363615,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,2,3,20,429,1103,1539,2740,4.5
MC2BB9,52,34,3,MC2-B9,Andrew,7,2,0,3,653299,653299,6176045,6176033,edge,O,23,3.78974359,0,NA,1,NA,NA,8.63,14,160,1264,3008,4876,7713,NA,NA,NA,NA,51002,98562,203300,16435,61564,113598,172589,241275,624814,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,1,3,4,1104,1481,2235,0.9
MC2BB10,53,35,3,MC2-B10,Andrew,2,0,1,3,653486,653500,6176170,6176164,200,I,20.5,3.370807624,0,NA,4,NA,NA,225.19,205,309,335,1834,4221,6923,NA,NA,NA,NA,54616,96341,202400,31415,125661,230783,318350,408992,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,3,4,1172,1484,2771,6.9
MC2BB11,54,36,3,MC2-B11,Andrew,14,2,0,3,653556,653572,6175954,6175975,edge,O,35,2.939171123,0,NA,3.5,NA,NA,17.46,17,0,465,1229,3483,12119,NA,NA,NA,NA,54178,112110,190900,19476,68591,140993,215273,296845,657268,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,34,892,1634,2402,5.7
MC2BB12,55,37,3,MC2-B12,Andrew,6,1,4,3,653760,653773,6176062,6176069,edge,I,30.25,3.240546218,0,NA,2,NA,NA,22.64,23,120,161,4936,8463,12761,NA,NA,NA,NA,57114,108863,189500,19916,71261,155698,270325,405859,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,34,34,35,1319,1649,2873,2.5
MC2BB13,56,38,3,MC2-B13,Andrew,2,0,0,3,653711,653717,6176258,6176269,400,O,27,3.277310924,0,NA,2,NA,NA,227.54,228,0,0,176,3801,10850,NA,NA,NA,NA,56553,99161,203700,31415,125661,261928,421864,574330,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,36,1481,1634,2601,2.5
MC2BB14,57,39,3,MC2-B14,Andrew,5,2,2,3,653974,653982,6176322,6176338,200,I,14.25,3.159235669,0,NA,3.5,NA,NA,181.26,181,0,193,3429,7286,10218,NA,NA,NA,NA,57693,95713,202900,31415,122347,224926,331500,452656,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,34,35,1481,1634,3098,5.7
MC2BB15,58,40,3,MC2-B15,Andrew,1,0,2,3,654056,654074,6176183,6176190,edge,O,11,3.159235669,0,NA,4.5,NA,NA,15.26,13,852,4854,8873,13009,14197,NA,NA,NA,NA,60046,100808,209000,17216,63526,131573,213906,312563,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,34,38,41,1166,1657,4151,8.3
MC2BB16,59,41,3,MC2-B16,Andrew,13,0,2,3,654118,654126,6176261,6176276,100,I,23.25,3,0,NA,3,NA,NA,67.1,43,26,1550,5626,10733,13899,NA,NA,NA,NA,59706,96722,206300,23960,71485,134272,214258,310287,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,34,36,40,1273,1647,3723,4.5
MC2BB17,60,42,3,MC2-B17,Andrew,10,2,4,3,654189,654190,6176437,6176450,edge,O,14.5,3,0,NA,3,NA,NA,22.03,11,103,152,254,2242,7012,NA,NA,NA,NA,53510,99730,207900,17815,64416,129700,212597,312023,666912,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,34,1479,1634,3700,4.5
H1,62,1,1,MC-1,Steve,9,0,6,1,645501,645466,6182775,6182785,edge,O,20.75,3.260997067,0,NA,1,NA,NA,22.53,23,1967,5620,10413,14441,20513,NA,NA,NA,NA,167129,800050,1628400,20399,72280,155563,269872,362877,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,2,3,109,463,15907,525591,1432774,0.9
H2,63,2,1,MC-2,Steve,6,9,7,1,645145,645118,6182907,6182913,edge,I,9,3.1691519,0,NA,2,NA,NA,46.05,28,832,2904,9841,21289,32739,NA,NA,NA,NA,342235,1210353,2077300,16857,48848,102243,170430,251347,696585,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,4,10,691,1195,224720,1046701,1959275,2.5
H3,64,3,1,MC-3,Steve,8,3,4,1,645221,645231,6183297,6183319,edge,O,6.25,3.320015374,0,NA,3,NA,NA,42.84,40,791,3947,8826,18014,51491,NA,NA,NA,NA,731792,1640068,2366400,23445,78369,154118,252940,360566,737688,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,51,195,12245,599279,1535554,2257126,4.5
H4,65,4,1,MC-4,Steve,11,6,3,1,645392,645417,6183540,6183536,edge,I,10.25,3.138504864,0,NA,3,NA,NA,72.32,30,1192,4263,6578,18479,73121,NA,NA,NA,NA,770818,1675382,2384600,21952,66332,129904,212919,309318,764531,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,11,45,69,2030,23143,676027,1595631,2275658,4.5
H5,66,5,1,MC-5,Steve,3,0,6,1,645545,645574,6183425,6183415,200,O,10.75,2.783809524,0,NA,2,NA,NA,163.95,164,0,17,1671,7260,39783,NA,NA,NA,NA,503532,1408065,2159600,31415,119802,222034,327144,443926,811020,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,27,95,6646,363783,1272487,2027055,2.5
H6,67,6,1,MC-6,Steve,0,1,4,1,645468,645461,6183310,6183283,200,I,3,2.926666667,0,NA,2,NA,NA,254.35,249,0,0,1596,9047,14553,NA,NA,NA,NA,501240,1406410,2147200,31415,125661,268541,395247,517477,809316,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,9,40,81,326164,1242414,2019973,2.5
H7,68,7,1,MC-7,Steve,5,3,4,1,645395,645395,6183037,6183015,200,O,6,2.727272727,0,NA,2,NA,NA,232.64,233,9,281,5272,11762,15478,NA,NA,NA,NA,335894,1182631,1973500,31415,125661,259976,379252,485499,808426,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,0,1,7,154959,1004282,1855807,2.5
H8,69,8,1,MC-8,Steve,3,1,13,1,645527,645545,6183026,6183024,200,I,21.75,2.454545455,0,NA,1,NA,NA,272.15,272,0,593,4151,7348,16352,NA,NA,NA,NA,287894,1054249,1852500,31415,125661,276865,433015,585884,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,1,2,41,83075,853903,1706098,0.9
H9,70,9,1,MC-9,Steve,11,3,5,2,645725,645729,6183034,6183053,450,I,24.25,4,0,24,4.5,NA,NA,345.16,345,247,359,1971,5648,16020,NA,NA,NA,NA,217014,882173,1711400,31253,111859,261988,456044,631402,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,0,3,383,37283,646693,1515268,8.3
H10,71,10,1,MC-10,Steve,12,8,5,2,645738,645760,6182910,6182907,200,I,16.5,3.687356322,0,24,4.5,NA,NA,222.15,222,0,1903,6700,17592,25446,NA,NA,NA,NA,170489,713893,1556500,31415,111695,229015,361854,514893,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,1,16,573,938,11775,433936,1322371,8.3
H11,72,11,1,MC-11,Steve,11,3,7,2,646063,646042,6183183,6183189,200,O,21,3.687356322,0,25,4.5,NA,NA,169.49,169,0,0,663,1366,7657,NA,NA,NA,NA,185778,622666,1529200,31415,121430,216796,333213,441822,810851,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,0,0,23,32673,356376,1234073,8.3
H12,73,12,1,MC-12,Steve,11,1,3,2,645932,645909,6183231,6183228,200,I,19.5,3.782692308,0,26,4,NA,NA,192.78,193,0,0,323,1125,4216,NA,NA,NA,NA,200947,811334,1718100,31347,115307,234018,379216,529109,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,0,0,0,38820,587323,1478367,6.9
H13,74,13,1,MC-13,Steve,11,6,4,2,645836,645856,6183475,6183464,edge,O,15.25,3.782692308,0,27,4,NA,NA,29.37,29,0,214,5083,19853,45707,NA,NA,NA,NA,270795,1082209,1948900,21496,70841,147412,249631,377371,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,58,1693,10063,111964,887540,1769179,6.9
H14,75,14,1,MC-14,Steve,3,0,0,2,646174,646194,6183263,6183247,edge,I,13,3.837465565,0,26,4,NA,NA,49.99,50,0,383,818,1815,10366,NA,NA,NA,NA,169927,528942,1423200,25304,78913,156335,236539,325828,771272,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,0,0,0,109,30674,245922,1112055,6.9
H15,76,15,1,MC-15,Steve,17,1,8,2,646362,646340,6182926,6182919,edge,O,17.75,3.40577676,0,27,3.5,NA,NA,39.77,40,1068,9816,23808,40809,56004,NA,NA,NA,NA,116881,300646,955900,21604,51411,96388,161608,214874,627604,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,0,426,1409,3301,3951,5961,50362,578717,5.7
H16,77,16,1,MC-16,Steve,19,3,11,2,645862,645816,6182728,6182741,edge,I,21.25,3.136622391,0,28,3.5,NA,NA,72.75,73,577,6663,19819,32214,48095,NA,NA,NA,NA,123352,454102,1301100,22038,65055,134149,220896,340741,811090,811090,85.7949,4706,362.9268,54.8517,1.2698,1.035,0.4081,0.9984,3,457,867,1266,2745,5799,163313,1034420,5.7
MC1H1,78,17,2,MC1-1,Steve,6,0,2,2,648259,648278,6183901,6183887,edge,I,15.5,4,0,26,3,NA,NA,47.14,47,2978,8787,13814,20920,34682,NA,NA,NA,NA,101732,192922,259900,21537,55119,96500,147448,208121,566039,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,5,13,94,426,1464,12882,13806,4.5
MC1H2,79,18,2,MC1-2,Steve,6,0,3,2,648622,648636,6183963,6183980,edge,O,20,4,0,26,3,NA,NA,39.72,40,1696,5060,8555,11671,22698,NA,NA,NA,NA,74016,192941,261200,23438,78615,165134,280985,378718,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,6,11,12,559,11739,13884,4.5
MC1H3,80,19,2,MC1-3,Steve,8,2,2,2,648970,648994,6184145,6184151,edge,I,18.25,3.669354839,0,26,4,NA,NA,59.96,60,189,1568,4364,8019,11550,NA,NA,NA,NA,66268,141444,272700,26936,80568,153332,247220,361680,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,1,1,1057,2139,14126,6.9
MC1H4,81,20,2,MC1-4,Steve,6,3,3,2,649123,649121,6184381,6184397,edge,O,15,3.278445748,0,26,2.5,NA,NA,25.74,26,561,1739,3342,5465,9299,NA,NA,NA,NA,60912,120890,242500,20799,72725,152460,242111,317760,617726,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,0,1348,1939,5226,3.5
MC1H5,82,21,2,MC1-5,Steve,36,2,10,2,649145,649119,6184675,6184677,edge,I,28.5,3.419389012,0,26,3.5,NA,NA,17.29,34,182,1526,2331,5172,7896,NA,NA,NA,NA,40240,106544,212300,20829,53776,98776,155837,225028,567175,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,26,30,35,1501,3799,5.7
MC1H6,83,22,2,MC1-6,Steve,11,0,7,2,648733,648711,6184650,6184639,edge,O,16.75,3.810298103,0,27,3,NA,NA,34.38,34,32,32,143,1278,4559,NA,NA,NA,NA,49711,133344,224600,22413,76446,161849,277997,395870,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,0,50,2054,6737,4.5
MC1H7,84,23,2,MC1-7,Steve,6,0,2,2,648468,648442,6184577,6184580,edge,I,11.25,4,0,27,3,NA,NA,49.38,49,0,2004,4998,9048,11571,NA,NA,NA,NA,50624,124976,254300,25159,72948,138106,222366,325889,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,3,34,747,14681,4.5
MC1H8,85,24,2,MC1-8,Steve,10,0,6,2,648327,648321,6184312,6184289,edge,O,19.25,4,0,27,2.5,NA,NA,33.63,34,2374,5456,6506,10443,18926,NA,NA,NA,NA,71959,155106,259100,22305,76220,161506,268864,379328,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,2,4,5,574,3070,14401,3.5
MC1H9,86,25,2,MC1-9,Steve,4,0,4,2,648634,648654,6184301,6184306,400,I,14,4,0,23,2,NA,NA,338.05,338,0,112,121,6408,12850,NA,NA,NA,NA,58594,151383,258900,31415,125661,282740,459567,561533,621877,621877,62.1865,3864,314.3294,62.1357,1.2243,1.0304,0.5385,0.9981,0,0,0,0,1,349,2660,14400,2.5
MC2AH1,87,44,3,MC2-A1,Steve,9,0,1,3,654051,654032,6176932,6176917,edge,I,33,4,0,25,5,NA,NA,36.73,17,0,108,307,879,4847,NA,NA,NA,NA,47276,123382,221400,13810,41569,83212,138774,208262,598119,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,33,1104,2309,3647,9.6
MC2AH2,88,45,3,MC2-A2,Steve,9,0,1,3,654015,654026,6176859,6176844,100,O,23,4,0,26,5,NA,NA,80.12,69,0,175,260,754,5602,NA,NA,NA,NA,47379,123197,214800,27619,66454,118038,183374,262573,626695,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,138,1107,2309,3573,9.6
MC2AH3,89,46,3,MC2-A3,Steve,3,0,3,3,654100,654104,6176656,6176632,edge,I,26.25,4,0,27,5,NA,NA,55.49,46,0,0,187,236,628,NA,NA,NA,NA,49385,115764,209600,24455,80812,167826,261948,347482,657936,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,0,1483,2319,3801,9.6
MC2AH4,90,47,3,MC2-A4,Steve,10,0,2,3,653971,653973,6176569,6176539,200,O,17,3.931677019,0,27,5,NA,NA,204.3,194,0,0,188,246,2970,NA,NA,NA,NA,50715,110535,210800,31415,125254,248970,376722,463019,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,0,0,1484,2224,3347,9.6
MC2AH5,91,48,3,MC2-A5,Steve,15,2,7,3,654212,654220,6176335,6176320,edge,O,28,3.663935083,0,28,4.5,NA,NA,26.82,15,49,496,2119,7275,12906,NA,NA,NA,NA,55940,96340,206800,14661,48963,102082,172624,260701,669342,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,0,0,35,40,1272,1640,3849,8.3
MC2AH6,92,49,3,MC2-A6,Steve,4,0,2,3,653955,653936,6176164,6176154,edge,I,10.5,3.482258065,0,29,3.5,NA,NA,37.93,38,1206,4566,8145,10505,13663,NA,NA,NA,NA,60304,103559,199300,23097,77193,158872,262579,380711,669634,669634,67.0114,4184,321.7719,62.4371,1.2772,1.0365,0.5188,0.9982,0,34,34,36,39,1342,1653,3255,5.7
