transid,transsurv,plotsurv,paddock,plot,obs,hbee,nbee,hover,date,sx,fx,sy,fy,loc,pair,inf,rankinf,dupl,temp,windspeed,winddir,cloudc,disttoedgecalc,disttoedgemeasured,w100,w200,w300,w400,w500,w600,w700,w800,w900,w1000,w1500,w2000,c100,c200,c300,c400,c500,c1000,c1500,area,perimeter,gyration,paratio,shape,fractaldimention,circumscircle,contiguity,links100,links200,links300,links400,links500,links1000,links1500,links2000,windspeed2
GCS13,184,92,7,GC13,Barbara,0,0,59,4,660838,660821,6202265,6202278,100,O,14.75,2.770114943,0,20,5,NE,NA,113.16,93,672,4073,17205,25828,49332,70492,97182,124418,148195,178390,457749,1015200,31017,83398,119172,177518,184550,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,52,1353,1646,2588,7584,28881,115233,9.6
GCH14,185,93,7,GC14,Steve,0,0,28,4,660745,660721,6202209,6202196,edge,I,7,3,0,20,5,NE,NA,77.82,19,1052,6540,13902,29752,47986,73022,102291,128656,155441,185016,438959,986100,14215,44115,92111,149043,180666,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,18,190,268,1601,2425,7323,25736,104891,9.6
GCS14,187,93,7,GC14,Barbara,0,0,27,4,660762,660779,6202178,6202195,edge,O,4,3,0,20,5,NE,NA,50.77,20,465,6429,14142,28394,45334,71063,100124,125399,153714,181485,439402,978400,15390,46446,90684,140129,181100,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,199,288,1640,2389,7029,25910,103796,9.6
GCH15,188,94,7,GC15,Steve,0,0,45,4,660729,660727,6202253,6202275,100,O,12.25,3,0,18.5,5,NE,NA,137.34,27,764,4334,12911,31302,49956,76477,103699,129339,151593,191261,439161,1006000,20496,60178,119195,169959,184550,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,9,134,281,1788,2434,8401,25756,110205,9.6
GCS15,189,94,7,GC15,Barbara,0,0,47,4,660760,660746,6202263,6202281,100,I,7.75,3,0,18.5,5,NE,NA,137.15,53,146,3875,12804,29259,48167,76063,102037,128308,150785,189637,441745,1011900,25601,66698,124801,174474,184550,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,81,429,1812,2382,8336,26429,112490,9.6
GCH16,190,95,7,GC16,Steve,2,0,36,4,660732,660731,6202334,6202356,150,I,5.5,2.518796992,0,19,4.5,NE,NA,148.39,43,55,3969,10366,31632,50511,80412,107203,128706,156789,199725,441322,1037700,23529,79148,158539,182677,184550,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,27,339,1947,2078,9544,26528,117861,8.3
GCS16,191,95,7,GC16,Barbara,2,0,66,4,660704,660704,6202333,6202354,150,O,14.75,2.518796992,0,19,4.5,NE,NA,120.44,16,385,3304,11196,31149,52808,79488,108061,128809,159256,203372,435934,1036200,19070,73714,147943,179888,184550,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,36,447,1915,2091,9880,25668,116519,8.3
GCH17,192,96,7,GC17,Steve,0,0,44,4,660599,660583,6202372,6202383,edge,O,13.75,2.371738169,0,19,5,NE,NA,21.53,22,105,6016,14658,32524,60427,83363,103137,136136,174683,226745,433052,1025200,12932,54285,105044,152701,183302,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,266,540,682,2182,14138,26092,110790,9.6
GCS17,193,96,7,GC17,Barbara,0,0,63,4,660602,660586,6202392,6202404,edge,I,10.75,2.371738169,0,19,5,NE,NA,40.17,40,82,4994,14774,31941,60139,84945,104113,137761,178655,228296,434206,1031100,15918,57205,107123,155372,184071,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,0,269,516,678,2216,14753,26075,113756,9.6
GCH18,194,97,7,GC18,Steve,1,0,7,4,660512,660516,6202432,6202456,edge,I,1,2.705882353,0,18,6,NE,NA,37.77,38,1753,8342,19770,35121,56189,85205,109608,144954,198539,234953,440501,1035000,19209,38273,72670,119307,168584,184550,184550,20.9034,2230,178.2888,106.6812,1.2186,1.0324,0.348,0.9968,219,406,443,795,1440,15628,27551,113312,12.5
